Day,Hour_0,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
11,-1.08,-1.16,-1.2,-1.08,-1.46,-1.79,-8.79,-7.07,-7.58,-8.58,-5.1,-5.31,-4.66,-5.23,-5.48,-4.23,-6.88,-6.85,-8.41,-6.74,-1.96,-0.34,0,0
12,-1.59,-1.71,-1.83,-1.59,-1.08,-1.47,-7.52,-7.4,-7.91,-8.68,-4.52,-4.44,-4.25,-5.01,-5,-5.5,-6.49,-8.95,-6.73,-7.02,-1.99,-0.81,0,0
13,-1.48,-1.42,-2,-1.48,-1.99,-1.02,-7.14,-7.62,-7.13,-7.46,-5.64,-5.57,-5.09,-4.1,-5.59,-5.3,-7.36,-7.75,-7.33,-7.43,-1.38,-0.1,0,0
14,-1.51,-1.05,-1.05,-1.51,-1.63,-1.95,-8.61,-8.78,-8.97,-8.99,-5.89,-4.28,-4.35,-4.44,-4.8,-4.4,-8.63,-8.73,-8.03,-3.81,0,0,0,0
15,-1.67,-1.2,-1.58,-1.67,-1.3,-1.54,-8.94,-7.35,-8.94,-6.06,-4.43,-5.71,-5.5,-4.11,-4.89,-4.65,-7.97,-6.68,-6.04,-7.25,-1.42,-1.09,-1.55,-0.03
16,-1.92,-1.58,-1.68,-1.92,-1.16,-1.87,-7.56,-7.34,-8.69,-8.46,-5.51,-4.88,-4.7,-4.9,-4.6,-5.09,-6.52,-7.3,-7.48,-6.1,-1.13,-1.43,0,0
17,-1.23,-1.12,-1.53,-1.23,-1.19,-1.86,-7.96,-8.5,-7.02,-7.54,-5.97,-5.37,-4.29,-5.42,-4.02,-5.63,-7.22,-8.72,-8.68,-6.63,0,0,0,0
18,-1.17,-1.73,-1.15,-1.17,-1.28,-1.15,-8.79,-6.64,-6.1,-8.11,-4.9,-4.03,-4.82,-4.73,-4.8,-4.54,-8.71,-7.67,-6.98,-8.02,-1.89,-1.05,-1.64,0
19,-1.5,-1.17,-1.54,-1.5,-1.53,-1.65,-6.85,-7.48,-8.63,-7.11,-5.52,-4.09,-5.48,-5.44,-5.37,-4.07,-7.06,-8.82,-8.89,-7,-0.7,0,0,0
20,-1.55,-1.71,-1.19,-1.55,-1.4,-1.01,-7.05,-6.75,-6.55,-7.17,-5.03,-4.55,-4.61,-4.84,-5.07,-5.25,-7.74,-7.61,-6.44,-7.61,-1.87,-1.02,-1.26,-1.87
21,-1.44,-1.91,-1.54,-1.44,-1.94,-1.28,-8.19,-8.4,-8.04,-7.4,-5.72,-4.8,-5.87,-4.76,-4.24,-5.9,-7.83,-8.24,-7.92,-4.48,0,0,0,0
22,-1,-1.36,-1.51,-1,-1.35,-1.76,-8.89,-6.86,-7.31,-8.64,-4.31,-4.03,-4.84,-4.5,-4.5,-4.76,-7.51,-8.86,-8.79,-6.91,-1.11,-1.1,0,0
23,-1.95,-1.19,-1.26,-1.95,-1.54,-1.46,-8.71,-7.6,-8.23,-6.43,-5.73,-5.41,-5.3,-5.8,-5.66,-5.4,-7.33,-6.73,-7.77,-6.4,0,0,0,0
24,-1.37,-1.58,-1.84,-1.37,-1.9,-1.52,-8.2,-7.05,-8.68,-8.41,-4.45,-5.15,-5.16,-4.93,-4.62,-5.84,-6.59,-8.33,-8.03,-6.25,0,0,0,0
25,-1.62,-1.09,-1.99,-1.62,-1.03,-1.21,-7.73,-6.24,-7.67,-6.84,-4.27,-5.25,-4.83,-4.92,-4.98,-4.38,-7.69,-6.59,-8.94,-8.58,-1.56,-1.52,-0.97,0
26,-1.42,-1.61,-1.11,-1.42,-1.88,-1.67,-7.01,-7.67,-6.67,-7.87,-5.23,-5.38,-5.59,-4.24,-4.71,-4.2,-7.13,-7.37,-7.25,-6.95,-1.99,-1.55,-1.17,-0.23
27,-1.24,-1.59,-1.47,-1.24,-1.45,-1.44,-8.71,-8.47,-6.87,-6.58,-4.5,-4.23,-5.4,-4.55,-5.16,-5.27,-6.49,-7.73,-6.14,-8.55,-1.21,-1.94,-0.91,0
28,-2,-1.57,-1.43,-2,-1.72,-1.82,-7.55,-7.62,-8.69,-8.53,-5.04,-5.63,-5.27,-5.89,-4.42,-5.89,-8.18,-7.72,-7,-3.93,0,0,0,0
29,-1.91,-1.47,-1.1,-1.91,-1.58,-1.19,-8.02,-7.62,-6.26,-8.45,-5.56,-4.08,-4.19,-4.64,-4.69,-4.62,-8.72,-6.73,-7.17,-8.74,-1.65,-1.51,0,0
30,-1.42,-1.36,-1.94,-1.42,-1.32,-1.81,-8.27,-8.19,-8.04,-6.47,-4.25,-4.97,-5.02,-5.85,-4.16,-4.67,-7.44,-8.46,-6.76,-7.47,-1.37,-0.66,0,0
31,-1.02,-1.08,-1.71,-1.02,-1.93,-1.98,-6.48,-7.69,-6.37,-7.23,-4.76,-5.94,-4.34,-5.59,-5.29,-4.88,-8.83,-8.7,-8.32,-7.76,0,0,0,0
32,-1.42,-1.37,-1.05,-1.42,-1.88,-1.42,-8.25,-6.54,-7.54,-8.87,-4.86,-5.9,-4.91,-4.12,-4.69,-4.19,-6.9,-7.17,-6.44,-6.54,-2,-1.87,-1.31,-0.66
33,-1.99,-1.68,-1.84,-1.99,-1.52,-1.57,-8.64,-6.25,-7.58,-6.36,-5.9,-4.09,-5.33,-5.15,-4.5,-5.3,-7.9,-8.62,-6.91,-7.19,-1.39,-0.19,0,0
34,-1.85,-1.74,-1.89,-1.85,-1.71,-1.58,-7.62,-7.47,-6.95,-6.75,-4.8,-5.19,-5.51,-5,-5.35,-5.61,-8.86,-8.09,-6.45,-6.63,-0.85,0,0,0
35,-1.83,-1.37,-1.01,-1.83,-1.69,-1.22,-8.61,-7.26,-7.89,-8.93,-5.1,-4.25,-6,-5.19,-5.24,-4.16,-6.14,-7.7,-7.71,-8.6,0,0,0,0
36,-1.44,-1.32,-1.99,-1.44,-1.08,-1.52,-8.18,-7.42,-8.03,-6.15,-5.25,-4.81,-4.51,-4.55,-4.81,-5.67,-7,-8.22,-7.41,-8.8,-1.74,0,0,0
37,-1.19,-1.49,-1.08,-1.19,-1.38,-1.48,-7.52,-6.37,-7.79,-6.53,-5.06,-4.36,-5.47,-4.8,-5.12,-5.66,-7.32,-8.02,-8.63,-6.86,-1.3,-1.31,-1.16,0
38,-1.77,-1.68,-1.12,-1.77,-1.02,-1.16,-8.52,-8.57,-7.02,-7.44,-5.08,-4.55,-5.78,-5.11,-4.54,-5.14,-8.85,-7.92,-8.71,-5.92,0,0,0,0
39,-1.91,-1.61,-1.62,-1.91,-1.48,-1.56,-7.79,-6.4,-8.77,-7.46,-4.13,-5.21,-4.16,-4.78,-4.09,-4.69,-6.22,-6.63,-6.33,-8.44,-1.4,-1.79,-1.53,-1.65
40,-1.09,-1.48,-1.36,-1.09,-1.57,-1.41,-6.64,-6.93,-7.53,-7.45,-4.28,-5.22,-4.99,-5.68,-5.05,-5.75,-8.04,-6.58,-6.77,-6.3,-1.43,-1.68,-1.73,-0.94
41,-1.15,-1.48,-1.42,-1.15,-1.03,-1.52,-6.5,-7.31,-8.23,-8.86,-5.34,-5.11,-4.83,-5.57,-5.74,-5.76,-6.96,-7.32,-6.45,-7.19,-1.49,-0.64,0,0
42,-1.42,-1.08,-1.67,-1.42,-1.89,-1.12,-6.92,-8.31,-7.8,-8.02,-4.57,-5.47,-5.37,-4.39,-5.32,-5.69,-8.56,-6.35,-6.86,-8.54,-0.55,0,0,0
43,-1.6,-1.57,-1.62,-1.6,-1.44,-1.5,-8.77,-6.98,-8.59,-6.83,-4.14,-5.7,-5.4,-5.73,-5.89,-5.65,-8.85,-8.11,-7.13,-4.4,0,0,0,0
44,-1.81,-1.24,-1.52,-1.81,-1.87,-1.94,-6.5,-8.87,-8.1,-7.49,-5.46,-5.5,-4.81,-5.72,-5.01,-4.87,-7.01,-6.04,-7.2,-6.31,-1.48,-1.15,0,0
45,-1.66,-1.76,-1.54,-1.66,-1.22,-1.44,-6.2,-8.26,-8.62,-8.14,-4.2,-5.27,-4.76,-4.97,-5.16,-4.68,-8.1,-8.25,-8.59,-7.08,0,0,0,0
46,-1.97,-1.69,-1.44,-1.97,-1.84,-1.01,-7.94,-8.34,-7.13,-7.8,-4.19,-5.13,-4.25,-5.03,-5.77,-4.08,-7.01,-8.76,-6.31,-7.41,-1.22,-1.58,0,0
47,-1.59,-1.51,-1.38,-1.59,-1.23,-1.14,-8.92,-6.62,-6.21,-8.88,-5.39,-5.92,-5.73,-4.63,-5.86,-5.98,-7.19,-8.82,-8.8,-4.1,0,0,0,0
48,-1.47,-1.04,-1.55,-1.47,-1.86,-1.55,-8.45,-7.29,-7.5,-8.9,-5.43,-4.1,-5.62,-5.33,-4.38,-4.26,-7.23,-8.98,-8.47,-6.49,0,0,0,0
49,-1,-1.84,-1.22,-1,-1.2,-1.41,-7.03,-7.04,-8.82,-7.49,-5.09,-4.33,-4.76,-5.37,-5.92,-5.1,-6.6,-6.32,-6.96,-9,-1.31,-1.08,-1.01,0
50,-1.96,-1.01,-1.58,-1.96,-1.03,-1.85,-7.33,-7.33,-7.61,-7.88,-4.09,-5.58,-5.15,-5.32,-4.29,-5.75,-7.87,-7.37,-8.36,-7.33,-1.13,-0.08,0,0
51,-1.06,-1.96,-1.72,-1.06,-1.55,-1.14,-7.84,-8.88,-7.76,-8.77,-5.28,-5.64,-5.51,-5.93,-5.98,-4,-8.68,-6.46,-8.99,-2.75,0,0,0,0
52,-1.1,-1.98,-1.73,-1.1,-1.29,-1.5,-7.07,-7.47,-8.39,-8.23,-4.78,-4.18,-5.02,-4.99,-4.17,-5.1,-8.72,-8.34,-6.53,-6.96,-1.36,-0.99,0,0
53,-1.49,-1.88,-1.17,-1.49,-1.48,-1.07,-8.53,-6.22,-6.59,-7.86,-5.04,-5.92,-4.93,-5.47,-5.6,-4.95,-6.84,-6.74,-7.63,-8.83,-1.65,-0.01,0,0
54,-1.62,-1.04,-1.18,-1.62,-1.25,-1.26,-8.92,-6.33,-7.01,-7.99,-5.42,-5.13,-4.82,-5.66,-5.79,-4.36,-8.99,-8.59,-7.34,-7.2,0,0,0,0
55,-1.65,-1.78,-1.72,-1.65,-1.47,-1.73,-6.74,-6.94,-7.05,-6.22,-5.03,-5.44,-5.49,-4.21,-5.37,-4.31,-7.8,-6.26,-6.57,-7.04,-1.62,-1.88,-1.72,-1.05
56,-1.24,-1.92,-1.34,-1.24,-1.63,-1.68,-6.7,-6.86,-6.7,-8.11,-5.25,-5.2,-4.62,-5.59,-5.37,-5.56,-6.12,-7.91,-7.54,-8.39,-1.95,-0.22,0,0
57,-1.55,-1.94,-1.6,-1.55,-1.11,-1.04,-8.47,-6.98,-7.33,-6.98,-4.32,-4.66,-5.39,-4.39,-5.17,-4.54,-7.62,-7.36,-6.89,-6.56,-1.47,-1.74,-1.22,-1.57
58,-1.67,-1.97,-1.17,-1.67,-1.55,-1.88,-7.96,-6.83,-7.46,-8.98,-4.97,-5.25,-5.99,-5.55,-4.41,-5.33,-7.93,-8.29,-8.74,-3.97,0,0,0,0
59,-1.84,-1.49,-1.91,-1.84,-1.69,-1.49,-7.69,-6.52,-7.62,-8.95,-4.86,-4.21,-5.5,-4.73,-4.35,-4.74,-8.67,-6.53,-7.49,-8.12,-1.33,-0.17,0,0
60,-1.49,-1.38,-1.83,-1.49,-1.94,-1.42,-8.37,-8.58,-6.81,-7.37,-4.56,-4.97,-4.7,-4.76,-5.23,-4.43,-7.51,-8.71,-6.76,-7.2,-1.12,-0.76,0,0
61,-1.86,-1.44,-1.11,-1.86,-1.88,-1.94,-6.49,-7.5,-8.89,-8.32,-4.32,-5.71,-4.95,-4.29,-5.69,-5.08,-7.14,-8.29,-6.8,-7.32,-0.88,0,0,0
62,-2,-1.04,-1.89,-2,-1.43,-1.4,-8.44,-7.66,-7.95,-7.53,-5.41,-4.24,-4.46,-4.81,-4.94,-5.75,-8.4,-6.95,-8.83,-6.02,-0.75,0,0,0
63,-1.4,-1.97,-1.05,-1.4,-1.37,-1.06,-6.37,-6.83,-8.13,-7.04,-4.39,-5.31,-5.71,-5.41,-4.77,-4.7,-8.73,-7.25,-7.03,-8.88,-1.65,-0.85,0,0
64,-1.89,-1.16,-1.08,-1.89,-1.28,-1.65,-7.17,-6.29,-8.38,-6.99,-4.5,-5.33,-5.97,-5.26,-5.88,-5,-8.09,-6.48,-6.1,-8.04,-1.34,-1.23,-0.79,0
65,-1.25,-1.02,-1.45,-1.25,-1.73,-1.54,-7.14,-8.66,-7.4,-7.01,-4.52,-4.16,-5.4,-4.64,-4.76,-5.98,-6.57,-8.41,-8.5,-6.51,-1.42,-1.68,-0.15,0
66,-1.32,-1.69,-1.01,-1.32,-1.04,-1.8,-8.26,-6.18,-7.31,-6.53,-5.93,-4.1,-5.91,-5.34,-5.82,-5.1,-8.49,-8.9,-8.47,-6.7,0,0,0,0
67,-1.96,-1.85,-1.45,-1.96,-1.24,-1.68,-8.89,-7.55,-6.06,-7.51,-4.44,-4.46,-4.3,-4.89,-4.45,-5.32,-7.78,-6.72,-6.52,-7.81,-1.63,-1.2,-1.63,-0.56
68,-1.85,-1.13,-1.13,-1.85,-1.69,-1.35,-6.04,-8.37,-7.88,-7.19,-4.58,-4.52,-4.12,-5.03,-4.14,-4.59,-7.45,-6.34,-7.59,-8.51,-1.48,-1.96,-1.74,-1.22
69,-1.02,-1.48,-1,-1.02,-1.18,-1.35,-8.59,-8.88,-6.68,-6.84,-5.88,-4.85,-4.6,-5.42,-4.74,-4.23,-6.36,-6.38,-8.07,-8.41,-1.7,-1.71,-0.53,0
70,-1.83,-1.65,-1.41,-1.83,-1.42,-1.19,-6.21,-8.59,-8.01,-8.87,-5.82,-4.32,-4.51,-5.84,-5.73,-5.15,-7.02,-7.93,-6.99,-7.41,0,0,0,0
71,-1.93,-1.69,-1.68,-1.93,-1.71,-1.71,-8,-7.02,-7.81,-6.1,-5.53,-5.28,-5.42,-5.72,-4.87,-4.26,-8.32,-8.4,-6.25,-8.2,0,0,0,0
72,-1.77,-1.44,-1.74,-1.77,-1.4,-1.65,-6.23,-8.98,-8.97,-8.85,-4.84,-5.42,-4.73,-4.58,-4.8,-4.45,-8.11,-6.58,-6.04,-6.86,-1.91,-0.55,0,0
73,-1.31,-1.28,-1.69,-1.31,-1.11,-1.67,-7.75,-8.96,-6.32,-8.1,-5.31,-4.58,-5.59,-4.28,-5.36,-5.52,-8.9,-7.78,-7.26,-7.13,0,0,0,0
74,-1.92,-1.89,-1.16,-1.92,-1.86,-1.96,-8.29,-7.51,-6.25,-8.35,-5.93,-5.88,-4.36,-4.94,-5.86,-5.12,-8.89,-6.5,-8.45,-4.78,0,0,0,0
75,-1.31,-1.06,-1.58,-1.31,-1.4,-1.34,-6.84,-8.34,-7.08,-7.03,-5.7,-5.29,-5.46,-5.33,-4.29,-4.25,-8.84,-7.32,-7.76,-8.6,-1.08,0,0,0
76,-1.18,-1.99,-1.62,-1.18,-1.75,-1.78,-6.79,-6.81,-8.75,-6.93,-4.67,-5.95,-4.71,-5.75,-4.67,-4.72,-6.13,-7.56,-8.93,-7.28,-1.93,0,0,0
77,-1.85,-1.23,-1.52,-1.85,-1.56,-1.83,-7.4,-8.57,-7.25,-7.34,-4.7,-5.31,-5.88,-5.8,-5.26,-4.22,-7.54,-6.36,-7.93,-7.11,-1.04,-0.2,0,0
78,-1.85,-1.98,-1.94,-1.85,-1.95,-1.15,-8.57,-7.69,-6.26,-6.62,-5.06,-5.77,-4.41,-5.87,-4.4,-4.65,-8.27,-8.3,-7.21,-6.91,-1.04,0,0,0
79,-1.17,-1.6,-1.51,-1.17,-1.03,-1.17,-7.26,-8.52,-7.15,-6.59,-5.02,-4.39,-4.52,-4.19,-4.42,-4.79,-8.71,-6.49,-6.24,-8.48,-1.59,-1.98,-1.5,-1.58
80,-1.16,-1.38,-1.47,-1.16,-2,-1.19,-7.75,-7.94,-7.09,-7.5,-4.52,-5.27,-5.88,-5.95,-5.09,-5.64,-7.1,-8.68,-8.04,-6.25,0,0,0,0
81,-1.4,-1.6,-1.4,-1.4,-1.64,-1.77,-8.17,-7.41,-7.71,-7.52,-5.12,-4.92,-4.25,-4.83,-4.81,-5.77,-7.6,-6.96,-8.52,-8.27,-0.23,0,0,0
82,-1.2,-1.94,-1.75,-1.2,-1.45,-1.59,-6.92,-6.29,-6.2,-6.61,-5.01,-5.71,-5.16,-4.41,-5.8,-4.4,-8.69,-6.37,-8.08,-6.6,-1.73,-2,-1.76,-0.23
83,-1.23,-1.55,-1.3,-1.23,-1.33,-1.37,-8.9,-8.35,-8.18,-6.91,-4.6,-4.68,-5.42,-5,-4.97,-4.46,-6.83,-8.16,-6.72,-6.37,-1.58,-1.43,-0.56,0
84,-1.92,-1.32,-1.49,-1.92,-1.03,-1.58,-7.59,-8.8,-8.42,-8.44,-5.7,-4.04,-4.39,-4.26,-5.88,-4.2,-7.3,-6.8,-7.03,-8.43,-1.28,0,0,0
85,-1.62,-1.4,-1.11,-1.62,-1.23,-1.32,-7.43,-7.97,-6.98,-8.62,-4.57,-5.12,-4.66,-5.44,-5.83,-4.74,-6.72,-6.81,-7.5,-6.18,-1.04,-1.72,-1.89,0
86,-1.41,-1.06,-1.89,-1.41,-1.04,-1.65,-7.13,-8.88,-7.78,-7.66,-5.08,-4.89,-5.66,-4.59,-5.44,-5.72,-8.25,-7.01,-8.64,-6.12,0,0,0,0
87,-1.05,-1.53,-1.83,-1.05,-1.43,-1.78,-7.74,-6.7,-8.07,-7.65,-4.07,-5.97,-4.9,-4.29,-4.28,-5.29,-7.33,-6.35,-6.11,-6.89,-1.62,-1.9,-1.77,-1.35
88,-1.84,-1.31,-1.23,-1.84,-1.36,-1.09,-7.86,-6.59,-6.11,-7.49,-5.34,-5.78,-4.7,-5.69,-5.88,-5.54,-8.97,-7.85,-8.1,-7.17,0,0,0,0
89,-1.03,-1.19,-1.3,-1.03,-1.12,-1.13,-7.66,-7.68,-8.86,-7.83,-4.59,-4.05,-5.58,-5.67,-5.74,-4.7,-8.77,-7.97,-6.14,-6.57,-1.73,-0.59,0,0
90,-1.03,-1.61,-1.19,-1.03,-1.06,-1.5,-7.32,-7.07,-8.66,-7.23,-4.78,-4.7,-4.81,-4.29,-5.15,-4.97,-7.89,-8.87,-6.6,-8.08,-1.1,-1.81,-0.18,0
91,-1.83,-1.53,-1.08,-1.83,-1.58,-1.33,-7.81,-8.94,-6.42,-8.03,-5.41,-5.98,-5.24,-4.11,-4.5,-4.46,-8.64,-8.62,-7.23,-7.15,-0.01,0,0,0
92,-1.8,-1.57,-1.12,-1.8,-1.97,-1.77,-7.62,-8.61,-8.05,-8.69,-4.2,-5.75,-5.83,-5.64,-4.16,-5.21,-6.53,-7.72,-6.72,-6.94,0,0,0,0
93,-1.91,-1.71,-1.01,-1.91,-1.4,-1.84,-6.69,-7.37,-6.74,-6.2,-5.81,-4.45,-4.91,-4.81,-5.06,-5.11,-7.48,-7.65,-6.88,-8.95,-1.98,-1.81,-0.13,0
94,-1.38,-1.77,-1.62,-1.38,-1.81,-1.96,-7.24,-8.13,-8.79,-7,-5.58,-5.41,-5.46,-4.62,-5.89,-5.25,-7.23,-7.68,-8.3,-4.78,0,0,0,0
95,-1.05,-1.72,-1.78,-1.05,-1,-1.39,-7.33,-6.36,-6.55,-6.65,-4.21,-4.96,-4.3,-5.78,-4.51,-5.3,-6.08,-6.11,-6.76,-6.06,-1.38,-1,-1.52,-1.68
96,-1.59,-1.2,-1.48,-1.59,-1.57,-1.19,-6.31,-8.52,-6.19,-7.06,-4.16,-5.3,-4.3,-4.48,-4.62,-5.36,-7.98,-8.24,-7.53,-6.09,-1.59,-1.94,-1.57,-1.63
97,-1.08,-1.5,-1.75,-1.08,-1.17,-1.94,-7.21,-6.25,-6.38,-7.72,-5.63,-4.64,-6,-5.14,-5.51,-4.25,-6.39,-8.36,-8.27,-7.54,-1.53,-1.45,-0.19,0
98,-1.87,-1.6,-1.84,-1.87,-1.4,-1.9,-8.42,-6.88,-7.03,-6.87,-5.64,-5.84,-4.6,-4.1,-5.81,-4.65,-7,-7.7,-7.58,-7.77,-1.4,0,0,0
99,-1.78,-1.58,-1.41,-1.78,-1.89,-1.85,-8.03,-8.08,-7.37,-7.2,-4.82,-5.05,-4.64,-5.32,-5.73,-5.13,-7.63,-6.17,-6.11,-8.83,-1.13,-0.15,0,0
100,-1.76,-1.19,-1.17,-1.76,-1.51,-1.52,-6.64,-7.2,-7.55,-6.13,-5.71,-4.98,-4.79,-5.92,-4.11,-4.77,-6.04,-8.14,-8.49,-8.75,-1.99,-1.01,-0.53,0
101,-1.97,-1.93,-1.37,-1.97,-1.08,-1.12,-8.47,-8.81,-6.91,-6.1,-5.06,-4.73,-5.5,-4.02,-4.92,-5.47,-6.52,-7.64,-8.17,-6.27,-1.1,-1.14,-1.08,-0.52
102,-1.47,-1.24,-1.92,-1.47,-1.98,-1.94,-8.08,-8.44,-8.76,-8.65,-4.66,-5.67,-5.27,-5.12,-5.38,-4.06,-6.08,-6.63,-8.38,-6.17,0,0,0,0
103,-1.66,-1.17,-1.47,-1.66,-1.99,-1.9,-6.72,-7.96,-8.61,-8.73,-4.1,-5.98,-5.71,-4.96,-4.61,-5.43,-6.3,-6.82,-7.15,-6.34,-1.41,-0.88,0,0
104,-1.47,-1.86,-1.48,-1.47,-1.89,-1.64,-7.28,-6.66,-7.77,-7.29,-4.2,-5.76,-5.28,-5.6,-5.95,-4.73,-7.53,-8.99,-7.9,-6.62,0,0,0,0
105,-1.24,-1.5,-1.93,-1.24,-1.48,-1.94,-6.56,-8.89,-6.4,-8.3,-5.8,-4.64,-5.78,-4.4,-4.72,-5.98,-6.24,-8.28,-7.95,-6.42,-1.24,-0.21,0,0
106,-1.15,-1.71,-1.76,-1.15,-1.65,-1.43,-6.96,-7.88,-6.19,-8,-4.13,-4.93,-5.06,-4.66,-5.51,-4.78,-8.67,-7.76,-8.52,-8.99,-0.16,0,0,0
107,-1.25,-1.2,-1.92,-1.25,-1.67,-1.7,-6.48,-7.62,-8.28,-8.78,-5.92,-4.55,-5.69,-5.77,-4.18,-4.61,-8.96,-7.28,-7.7,-6.34,0,0,0,0
108,-1.18,-1.96,-1.08,-1.18,-1.49,-1.21,-6.14,-6.13,-7.88,-6.17,-5.98,-5.32,-4.76,-4.96,-5.49,-5.23,-6.09,-6.31,-8.63,-6.9,-1.69,-1.57,-1.46,-1.66
109,-1.08,-1.18,-1.55,-1.08,-1.61,-1.61,-7.5,-8.05,-6.32,-8.02,-4.8,-4.64,-5.44,-4.39,-5.29,-4.88,-8.76,-8.97,-7.45,-6.4,-1.53,-0.43,0,0
110,-1.36,-1.54,-1.36,-1.36,-1.14,-1.8,-7.27,-6.94,-8.95,-8.18,-4.52,-4.44,-5.58,-5.87,-4.47,-4.59,-6.69,-8.97,-7.17,-6.31,-1.96,-0.79,0,0
111,-1.23,-1.79,-1.34,-1.23,-1.47,-1.05,-6.11,-7.33,-6.66,-6.27,-5.13,-5.62,-5.38,-4.26,-4.82,-4.71,-8.39,-7.93,-6.02,-8.61,-1.44,-1.59,-1.55,-1.2
112,-1.99,-1.15,-1.52,-1.99,-1.38,-1.24,-7.86,-7.41,-6.2,-8.2,-5.04,-5.31,-4.19,-5.35,-4.15,-5.79,-6.5,-8.79,-7.83,-7.59,-1.47,-0.94,0,0
113,-1.43,-1.65,-1.86,-1.43,-1.26,-1.11,-6.14,-6.51,-7.52,-8.38,-4.97,-5.38,-4.54,-4.02,-4.89,-5.71,-6.45,-8.76,-8.94,-6.3,-1.97,-1.81,-0.3,0
114,-1.88,-1.74,-1.06,-1.88,-1.74,-1.83,-7.66,-7.04,-8.34,-8.72,-4.07,-5.66,-4.41,-4.09,-4.58,-5.51,-7.27,-6.85,-7.97,-8.96,-0.52,0,0,0
115,-1.21,-1.89,-1.97,-1.21,-1.95,-1.85,-7.42,-6.81,-8.27,-7.37,-5.16,-5.83,-5.56,-5.76,-4.21,-5.06,-8.36,-6.13,-6.58,-7.92,-0.59,0,0,0
116,-1.69,-1.59,-1.19,-1.69,-1.77,-1.36,-6.43,-6.67,-6.83,-6.28,-4.98,-4.8,-4.22,-4.24,-5.69,-4.06,-7,-6.85,-8.02,-8.19,-1.47,-1.73,-1.81,-1.53
117,-1.89,-1.34,-1.55,-1.89,-1.28,-1,-7.84,-6.64,-7.75,-6.62,-4.22,-4.77,-5.98,-5.09,-5.62,-4.08,-8.35,-8.87,-8.34,-8.67,0,0,0,0
118,-1.77,-1.59,-1.8,-1.77,-1.13,-1.17,-7.15,-8.02,-6.67,-6.29,-4.99,-4.14,-4.61,-5.01,-4.49,-4.86,-6.49,-8.49,-6.28,-8.08,-1.11,-1.74,-1.31,-1.2
119,-1.2,-1.34,-1.94,-1.2,-1.3,-1.96,-6.91,-7.54,-6.17,-7.78,-4.21,-4.63,-4.78,-4.58,-5.1,-4.52,-6.18,-8.81,-7.36,-6.6,-1.68,-1.35,-1.08,-1.48
